	YC1	YC2	SP1	SP2	DMA1	DMA2	DMA3	DMA4	DMA5	DMA6	GP1	GP2	GP3	Y
A18	49.68392512	54.73004647	31.82188319	33.13105465	36.1497095	36.98661882	38.35000903	44.05291	44.54635363	48.28491852	55.98259929	64.72581953	55.59407033	72.19024027
A19	50.41056558	54.6137289	28.61772594	31.47276574	40.82553899	41.7673831	41.59973812	42.83640851	46.57530771	42.13385129	56.86276859	60.98014414	61.53033687	71.15949035
A20	50.44361936	56.7854054	28.18733592	33.6659909	43.1867399	40.25679786	44.67341946	47.09193613	42.99454218	50.44720816	55.70945783	63.92673577	59.72071448	71.19278561
A21	48.85415938	52.99848635	28.15652073	30.86079936	39.17196827	42.16420958	40.65541099	44.23081731	44.35680521	47.15546447	61.13287421	63.29580601	57.83272112	68.77148675
A22	48.09886503	54.47580403	31.11344554	32.14362323	39.57569894	35.66637488	40.65785391	42.14452679	43.56315656	50.02492088	57.31909346	62.591417	55.01184243	66.70153672
A23	50.70601303	55.5489545	29.87562009	30.90044906	39.92692556	37.50390524	43.93700121	40.64125283	46.39531344	43.12848859	54.15572287	62.07822184	62.80441954	73.23856448
A24	48.31775842	53.05867148	31.18472688	32.90351643	40.7300375	38.69554968	42.88663211	41.66047615	44.80929657	46.50034387	58.27856433	60.27230577	65.78074164	66.44945127
A25	50.00185206	55.33555343	29.59844037	33.48377949	41.33031975	44.95817466	37.53816088	43.7886433	44.4753288	45.69995812	58.94528482	60.71650248	59.41496081	67.6527602
A26	50.2752726	57.25343683	29.11216185	33.95072101	42.63564177	38.70452998	41.47996964	41.96285031	48.18404447	48.3055223	62.31332078	61.59642829	60.6996133	71.57241248
A27	50.62025413	54.99512722	29.44747114	32.79760066	39.80902482	39.60145814	44.47244919	44.18272928	44.94996273	44.2724213	57.01986923	61.12711112	61.44912062	66.84451363
A28	50.20836886	54.66585517	27.22107476	33.84326625	40.39255609	42.23962146	43.97208033	42.23102248	44.55625069	45.96970698	63.13548099	63.45238362	57.59639113	68.62032397
A29	49.19386081	55.56989406	28.24557711	33.24642391	44.97599575	41.03176091	41.88189837	42.75721221	45.29986525	40.66402255	61.07557933	60.71577548	58.29760754	67.04300123
A30	51.08500245	54.6651134	27.83694803	31.86812509	40.86219786	42.43925154	42.51456369	41.31982775	43.43157538	43.66713567	60.97835083	60.81702	55.54575793	71.55165889
A31	51.91249714	55.97608045	31.58148341	32.47703724	40.37750622	48.91518595	38.48643605	47.38160025	45.49030264	46.37510165	57.69818069	59.74077037	57.52684354	71.11578254
A32	50.96929669	56.08532256	29.10400486	31.02800579	37.31551375	38.62618899	41.63027629	43.76502998	44.9038368	43.88103552	65.27490328	60.64032555	60.24481957	71.05471173
A33	47.86198401	55.00322999	31.18418978	31.81479783	40.0057121	41.08359108	38.99565724	43.53045737	45.46852512	45.86929154	59.55646875	60.82120933	58.41856802	71.10616193
A34	51.5395338	53.58796941	32.2747359	33.22096371	39.55734769	40.44972165	40.03816206	39.10871645	44.01762936	44.59622208	55.07277652	54.98428699	58.57157693	71.39311437
A35	49.93833846	53.41813513	29.71233779	32.54128414	39.97790834	46.53718628	42.96476774	44.51752137	43.97701616	47.82079041	59.44958753	57.45143759	58.7748809	71.59839123
A36	50.57740571	54.28840316	30.42581836	32.45735733	38.84916472	39.69154523	38.61252447	40.64566575	44.30658534	49.50546493	54.77700101	60.81153403	55.27266604	65.07834611
A37	50.68423656	55.9568566	27.37339872	30.96186896	38.6263687	41.75373929	41.56052833	40.94950038	44.23201043	43.53249576	59.16162269	60.31026219	60.67525987	69.6279591
A38	49.89364532	52.65015379	28.77199533	31.39548677	38.55845274	44.36140084	41.89949728	45.11218469	46.29904997	45.07889032	58.85998709	57.87773975	56.11301422	70.28115953
A39	49.91721048	52.73640981	30.08432227	31.23539399	39.57099097	38.82422839	41.11531514	41.95878851	46.57914556	50.31928378	61.84094016	55.82200074	58.58285968	71.81169051
A40	51.12107278	54.21546421	30.44863036	32.39529587	42.7362653	46.96552745	44.82659653	38.97874376	44.84310805	39.40323024	62.7256397	60.07864003	58.12287308	67.03128481
A41	50.78276211	55.47327382	28.86090282	31.00949237	42.09817325	44.02728725	38.85307061	47.07077945	44.64106344	45.04048662	58.03951659	62.69908899	58.56281237	68.75099953
A42	51.08928847	53.90372074	34.0272885	32.56204139	39.28004976	38.77738017	42.27287355	37.53196407	44.67096117	52.19411285	62.17649394	65.61042044	61.91993189	67.31589252
A43	52.62121936	56.06409884	29.31241479	30.88358359	36.62816709	43.36373343	40.81324581	44.31746652	45.06923648	52.58077021	63.8456724	60.90001234	57.83588016	72.64310053
A44	50.73085745	55.40004396	30.09636533	33.82853046	38.31083314	41.36007857	40.45225229	45.33967327	45.09690423	46.46978597	57.88281119	64.88228059	57.43380481	73.19768146
A45	50.22811927	54.79523246	30.9746878	32.46059135	39.08447893	42.93968632	41.97459159	41.54877391	45.29003439	43.40917315	58.23850821	61.21585761	55.96069201	71.96919181
A46	47.56830358	55.98259376	29.96097205	31.29899639	40.20727601	41.73007441	38.85715876	44.02186022	44.25332106	46.49637226	61.75710158	61.30038347	57.38860384	66.94399154
A47	52.9608854	55.4660382	29.03464892	32.24104593	38.67478545	45.21154811	38.24175308	44.00999989	44.15310361	44.04167681	60.49422952	61.84454581	56.66763059	71.12988029
A48	49.4690555	54.46487797	31.5679585	31.6475468	44.01336138	37.94669884	39.96159016	45.39343325	46.19707766	50.35845185	61.48169239	58.73649916	59.81589239	72.87612297
A49	52.61220819	55.27733792	32.42331798	32.37114796	39.45546493	40.43214991	44.67869001	44.11342859	44.45137264	43.58055203	63.7926476	60.86553265	57.27399151	70.41985245
A50	50.41210792	55.77701603	29.95545904	32.24353272	37.57211106	41.25242797	41.11710603	42.43676731	45.3030457	47.11873479	61.04512442	63.36196402	59.60808407	68.58472667
